input_prompt,enhanced_prompt
a angel in deep forest,"(angel:1.25) in deep forest, Steampunk style, sharp focus, ethereal atmosphere, volumetric lighting, masterpiece quality"
a cat in neon city,"(cat:1.25) in neon city, Vaporwave style, intricate textures, soft bokeh, masterpiece quality, unreal engine 5, ethereal atmosphere"
a mechanic in mars base,"(mechanic:1.25) in mars base, Cinematic style, ethereal atmosphere, muted tones, vibrant colors, soft bokeh, octane render"
a cyberpunk girl in underwater city,"(cyberpunk girl:1.25) in underwater city, Steampunk style, sharp focus, vibrant colors, dramatic shadows, unreal engine 5"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Cinematic style, soft bokeh, sharp focus, 8k resolution"
a nomad in ancient ruins,"(nomad:1.25) in ancient ruins, Impressionist style, vibrant colors, octane render, hyper detailed, sharp focus"
a old man in space station,"(old man:1.25) in space station, Cyberpunk style, masterpiece quality, ray traced, dramatic shadows, volumetric lighting"
a angel in underwater city,"(angel:1.25) in underwater city, Cyberpunk style, ethereal atmosphere, unreal engine 5, majestic scale, 8k resolution, soft bokeh"
a queen in space station,"(queen:1.25) in space station, Dark Fantasy style, sharp focus, muted tones, 8k resolution, masterpiece quality"
a angel in neon city,"(angel:1.25) in neon city, Steampunk style, ray traced, soft bokeh, 8k resolution, octane render, vibrant colors"
a demon in neon city,"(demon:1.25) in neon city, Cinematic style, volumetric lighting, ethereal atmosphere, vibrant colors, sharp focus"
a old man in dreamscape,"(old man:1.25) in dreamscape, Steampunk style, sharp focus, ray traced, octane render, hyper detailed, soft bokeh"
a scientist in medieval village,"(scientist:1.25) in medieval village, Impressionist style, muted tones, soft bokeh, ray traced, masterpiece quality"
a mechanic in frozen tundra,"(mechanic:1.25) in frozen tundra, Cyberpunk style, ray traced, soft bokeh, masterpiece quality, volumetric lighting"
a cyberpunk girl in dreamscape,"(cyberpunk girl:1.25) in dreamscape, Renaissance style, 8k resolution, octane render, ethereal atmosphere"
a monk in stellar nebula,"(monk:1.25) in stellar nebula, Vaporwave style, muted tones, hyper detailed, octane render, soft bokeh"
a forest spirit in floating island,"(forest spirit:1.25) in floating island, Vaporwave style, dramatic shadows, ray traced, hyper detailed"
a robot in cybernetic lab,"(robot:1.25) in cybernetic lab, Dark Fantasy style, muted tones, ray traced, majestic scale, sharp focus, masterpiece quality"
a monk in dreamscape,"(monk:1.25) in dreamscape, Cinematic style, vibrant colors, hyper detailed, sharp focus, majestic scale"
a astronaut in space station,"(astronaut:1.25) in space station, Cyberpunk style, 8k resolution, hyper detailed, vibrant colors"
a mechanic in mountain temple,"(mechanic:1.25) in mountain temple, Renaissance style, volumetric lighting, ethereal atmosphere, dramatic shadows"
a cat in desert oasis,"(cat:1.25) in desert oasis, Steampunk style, hyper detailed, dramatic shadows, unreal engine 5, octane render, muted tones"
a cyberpunk girl in floating island,"(cyberpunk girl:1.25) in floating island, Minimalist style, volumetric lighting, intricate textures, ethereal atmosphere, vibrant colors, majestic scale"
a demon in floating island,"(demon:1.25) in floating island, Anime style, hyper detailed, muted tones, ethereal atmosphere, vibrant colors, masterpiece quality"
a goddess in space station,"(goddess:1.25) in space station, Minimalist style, octane render, volumetric lighting, masterpiece quality, 8k resolution, hyper detailed"
a robot in desert oasis,"(robot:1.25) in desert oasis, Cyberpunk style, soft bokeh, unreal engine 5, majestic scale, dramatic shadows"
a demon in underwater city,"(demon:1.25) in underwater city, Cinematic style, sharp focus, ray traced, dramatic shadows, 8k resolution, soft bokeh"
a explorer in cybernetic lab,"(explorer:1.25) in cybernetic lab, Renaissance style, ray traced, muted tones, octane render, vibrant colors, unreal engine 5"
a scientist in desert oasis,"(scientist:1.25) in desert oasis, Cyberpunk style, masterpiece quality, ethereal atmosphere, muted tones, soft bokeh, intricate textures"
a angel in space station,"(angel:1.25) in space station, Vaporwave style, muted tones, volumetric lighting, ethereal atmosphere, soft bokeh, masterpiece quality"
a astronaut in medieval village,"(astronaut:1.25) in medieval village, Dark Fantasy style, muted tones, soft bokeh, unreal engine 5, ray traced, majestic scale"
a explorer in cybernetic lab,"(explorer:1.25) in cybernetic lab, Minimalist style, sharp focus, masterpiece quality, volumetric lighting, ray traced"
a explorer in volcano,"(explorer:1.25) in volcano, Cyberpunk style, sharp focus, volumetric lighting, muted tones, masterpiece quality"
a mechanic in mountain temple,"(mechanic:1.25) in mountain temple, Renaissance style, soft bokeh, vibrant colors, 8k resolution, volumetric lighting"
a samurai in deep forest,"(samurai:1.25) in deep forest, Photoreal style, ethereal atmosphere, unreal engine 5, intricate textures, muted tones, vibrant colors"
a warrior in stellar nebula,"(warrior:1.25) in stellar nebula, Anime style, sharp focus, muted tones, unreal engine 5, volumetric lighting"
a mechanic in floating island,"(mechanic:1.25) in floating island, Photoreal style, hyper detailed, intricate textures, unreal engine 5, majestic scale"
a explorer in deep forest,"(explorer:1.25) in deep forest, Vaporwave style, muted tones, intricate textures, unreal engine 5, dramatic shadows, 8k resolution"
a samurai in desert oasis,"(samurai:1.25) in desert oasis, Photoreal style, soft bokeh, octane render, intricate textures, volumetric lighting, sharp focus"
a explorer in mars base,"(explorer:1.25) in mars base, Renaissance style, volumetric lighting, ray traced, vibrant colors"
a wizard in volcano,"(wizard:1.25) in volcano, Steampunk style, volumetric lighting, ethereal atmosphere, unreal engine 5"
a demon in stellar nebula,"(demon:1.25) in stellar nebula, Dark Fantasy style, sharp focus, volumetric lighting, muted tones, soft bokeh, hyper detailed"
a scientist in space station,"(scientist:1.25) in space station, Renaissance style, ray traced, muted tones, hyper detailed, ethereal atmosphere, unreal engine 5"
a warrior in underwater city,"(warrior:1.25) in underwater city, Cinematic style, vibrant colors, muted tones, ray traced"
a knight in volcano,"(knight:1.25) in volcano, Minimalist style, hyper detailed, dramatic shadows, ray traced, sharp focus, intricate textures"
a angel in ancient ruins,"(angel:1.25) in ancient ruins, Vaporwave style, unreal engine 5, muted tones, dramatic shadows"
a nomad in desert oasis,"(nomad:1.25) in desert oasis, Steampunk style, volumetric lighting, dramatic shadows, masterpiece quality, majestic scale, 8k resolution"
a scientist in medieval village,"(scientist:1.25) in medieval village, Renaissance style, soft bokeh, masterpiece quality, muted tones, sharp focus"
a goddess in ancient ruins,"(goddess:1.25) in ancient ruins, Steampunk style, sharp focus, dramatic shadows, soft bokeh, vibrant colors"
a warrior in cybernetic lab,"(warrior:1.25) in cybernetic lab, Photoreal style, ethereal atmosphere, volumetric lighting, unreal engine 5"
a knight in stellar nebula,"(knight:1.25) in stellar nebula, Impressionist style, majestic scale, sharp focus, muted tones, masterpiece quality, intricate textures"
a cat in neon city,"(cat:1.25) in neon city, Minimalist style, majestic scale, ray traced, ethereal atmosphere"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Renaissance style, ray traced, volumetric lighting, unreal engine 5"
a knight in ancient ruins,"(knight:1.25) in ancient ruins, Vaporwave style, dramatic shadows, soft bokeh, volumetric lighting"
a queen in space station,"(queen:1.25) in space station, Photoreal style, dramatic shadows, soft bokeh, 8k resolution, volumetric lighting"
a demon in desert oasis,"(demon:1.25) in desert oasis, Cinematic style, unreal engine 5, octane render, masterpiece quality, soft bokeh, majestic scale"
a robot in dreamscape,"(robot:1.25) in dreamscape, Anime style, soft bokeh, muted tones, dramatic shadows"
a queen in stellar nebula,"(queen:1.25) in stellar nebula, Photoreal style, volumetric lighting, dramatic shadows, masterpiece quality"
a queen in floating island,"(queen:1.25) in floating island, Impressionist style, vibrant colors, volumetric lighting, dramatic shadows, ray traced, soft bokeh"
a goddess in floating island,"(goddess:1.25) in floating island, Cyberpunk style, volumetric lighting, vibrant colors, sharp focus, hyper detailed"
a queen in mountain temple,"(queen:1.25) in mountain temple, Minimalist style, sharp focus, octane render, hyper detailed, ray traced, soft bokeh"
a samurai in mountain temple,"(samurai:1.25) in mountain temple, Dark Fantasy style, majestic scale, sharp focus, ethereal atmosphere, soft bokeh, volumetric lighting"
a warrior in ancient ruins,"(warrior:1.25) in ancient ruins, Photoreal style, masterpiece quality, majestic scale, unreal engine 5, intricate textures"
a cat in underwater city,"(cat:1.25) in underwater city, Dark Fantasy style, masterpiece quality, volumetric lighting, ray traced, octane render"
a warrior in mountain temple,"(warrior:1.25) in mountain temple, Cinematic style, intricate textures, volumetric lighting, octane render, masterpiece quality"
a astronaut in stellar nebula,"(astronaut:1.25) in stellar nebula, Steampunk style, hyper detailed, ethereal atmosphere, majestic scale, intricate textures"
a old man in mountain temple,"(old man:1.25) in mountain temple, Dark Fantasy style, intricate textures, 8k resolution, unreal engine 5"
a warrior in frozen tundra,"(warrior:1.25) in frozen tundra, Vaporwave style, vibrant colors, majestic scale, dramatic shadows"
a forest spirit in ancient ruins,"(forest spirit:1.25) in ancient ruins, Renaissance style, octane render, soft bokeh, muted tones, ray traced, vibrant colors"
a goddess in mountain temple,"(goddess:1.25) in mountain temple, Dark Fantasy style, soft bokeh, sharp focus, ethereal atmosphere, octane render, intricate textures"
a angel in ancient ruins,"(angel:1.25) in ancient ruins, Impressionist style, 8k resolution, ethereal atmosphere, ray traced, octane render"
a warrior in mountain temple,"(warrior:1.25) in mountain temple, Renaissance style, soft bokeh, octane render, dramatic shadows, vibrant colors, majestic scale"
a explorer in deep forest,"(explorer:1.25) in deep forest, Renaissance style, unreal engine 5, muted tones, majestic scale"
a goddess in cybernetic lab,"(goddess:1.25) in cybernetic lab, Cinematic style, soft bokeh, majestic scale, intricate textures, muted tones"
a old man in ancient ruins,"(old man:1.25) in ancient ruins, Steampunk style, ethereal atmosphere, 8k resolution, muted tones, sharp focus"
a robot in volcano,"(robot:1.25) in volcano, Photoreal style, masterpiece quality, sharp focus, vibrant colors, dramatic shadows, muted tones"
a scientist in floating island,"(scientist:1.25) in floating island, Impressionist style, octane render, sharp focus, muted tones, ray traced, masterpiece quality"
a warrior in dreamscape,"(warrior:1.25) in dreamscape, Photoreal style, soft bokeh, vibrant colors, unreal engine 5, dramatic shadows"
a cat in deep forest,"(cat:1.25) in deep forest, Impressionist style, dramatic shadows, sharp focus, intricate textures, majestic scale"
a knight in medieval village,"(knight:1.25) in medieval village, Cyberpunk style, ethereal atmosphere, muted tones, soft bokeh, 8k resolution, volumetric lighting"
a wizard in volcano,"(wizard:1.25) in volcano, Steampunk style, hyper detailed, sharp focus, 8k resolution, unreal engine 5, majestic scale"
a cat in deep forest,"(cat:1.25) in deep forest, Steampunk style, soft bokeh, unreal engine 5, intricate textures"
a cat in floating island,"(cat:1.25) in floating island, Cinematic style, unreal engine 5, muted tones, intricate textures, hyper detailed"
a forest spirit in desert oasis,"(forest spirit:1.25) in desert oasis, Steampunk style, majestic scale, volumetric lighting, sharp focus, 8k resolution"
a monk in volcano,"(monk:1.25) in volcano, Steampunk style, octane render, masterpiece quality, dramatic shadows, ethereal atmosphere, sharp focus"
a angel in frozen tundra,"(angel:1.25) in frozen tundra, Impressionist style, muted tones, 8k resolution, vibrant colors, masterpiece quality"
a forest spirit in space station,"(forest spirit:1.25) in space station, Steampunk style, intricate textures, sharp focus, muted tones"
a cat in underwater city,"(cat:1.25) in underwater city, Minimalist style, octane render, dramatic shadows, masterpiece quality, unreal engine 5, volumetric lighting"
a goddess in floating island,"(goddess:1.25) in floating island, Steampunk style, dramatic shadows, hyper detailed, vibrant colors"
a old man in mountain temple,"(old man:1.25) in mountain temple, Steampunk style, sharp focus, vibrant colors, ethereal atmosphere"
a cyberpunk girl in volcano,"(cyberpunk girl:1.25) in volcano, Renaissance style, soft bokeh, unreal engine 5, hyper detailed"
